,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
136,Joe Corona\Joe-Corona,us USA,MF,Tijuana,28,1990,3,0,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Joe Corona\Joe-Corona,us USA,MF,América,28,1990,5,3,251,0,1,0,0,1,0,0.00,0.36,0.36,0.00,0.36,Matches
138,José Corona\Jose-Corona,mx MEX,GK,Cruz Azul,37,1981,33,33,2970,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
139,George Corral\George-Corral,mx MEX,DF,Querétaro,28,1990,25,25,2223,0,2,0,0,7,0,0.00,0.08,0.08,0.00,0.08,Matches
140,Jair Cortés\Jair-Cortes,mx MEX,MF,Necaxa,17,2000,1,0,18,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
141,Javier Cortés\Javier-Cortes,mx MEX,MF,Santos,29,1989,4,1,76,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
142,Gabriel Cortez\Gabriel-Cortez,ec ECU,DFMF,Lobos BUAP,22,1995,7,0,81,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
143,Jordi Cortizo\Jordi-Cortizo,mx MEX,MF,Querétaro,22,1996,18,5,574,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
144,Rodolfo Cota\Rodolfo-Cota,mx MEX,GK,León,31,1987,30,30,2700,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
145,Félix Crisanto\Felix-Crisanto,hn HON,DF,Lobos BUAP,27,1990,24,21,1993,0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches
146,Diego Cruz Esparza\Diego-Cruz-Esparza,mx MEX,DF,Puebla,23,1995,8,7,622,0,1,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
147,Aldo Cruz\Aldo-Cruz,mx MEX,DF,Lobos BUAP,20,1997,34,34,3060,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
148,Jürgen Damm\Jurgen-Damm,mx MEX,MF,UANL,25,1992,18,10,1017,0,2,0,0,4,0,0.00,0.18,0.18,0.00,0.18,Matches
